event_url,event_title,event_image,event_description,event_time,event_category,event_location,event_organization
https://www.eventbrite.com/e/five-star-tease-816-tickets-64634949875,Five Star Tease 8/16,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64788875%2F190861294871%2F1%2Foriginal.20190702-200015?w=1000&auto=compress&rect=54%2C0%2C718%2C359&s=716e3a31b78b600d2495400b147fb766,"Five Star Tease is a 90 minute show designed to bring a little bit of  Madison magic to the stage. This show encourages self love and promotes bodies of all shapes, colors, sizes and gender identities. This week's show is hosted by Con Lingus and presented by Dance Life Studios.  Every week features nationally touring performers as well as regional favorites. Performances range from Drag, Burlesque, singing and everything in between. Audiences will leave with a big smile and a new found love for themselves. Tipping is encouraged and Five Star Tease continues to strive to provide a safe space for all.  Come see Wisconsin's only weekly burlesque show for yourself.See Fivestartease.com for more informationThis week's Headliner is Arielle Juliette (Madison, WI)Performances fromBelle FolleConnie LingusCadenza RoseAmethyst Von TrollenbergDee Dee PurrJean Wildest","Fri, August 16, 2019, 8:00 PM – 9:30 PM CDT, ",Other,"Refunds up to 7 days before event , ", Wisconsin Burlesque Association
https://www.eventbrite.com/e/unifying-performance-aesthetics-with-commercial-shades-glass-tickets-60710607060,Unifying Performance & Aesthetics with Commercial Shades & Glass,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F60766706%2F35402847250%2F1%2Foriginal.jpg?w=1000&auto=compress&rect=0%2C288%2C3072%2C1536&s=709779b9f3a24157df9ed2764449bc82,"This course will explain the evolution of fenestration specification strategies from performance, aesthetic, and occupant comfort angles. The presentation will focus on the importance of specifying shades from a project�s initial planning in order to exceed code, save costs and maintain building design intent. New research, ratings and standards from Lawrence Berkeley National Labs and the Department of Energy�s Attachment Energy Rating Council will be explained, and more specifically, we will establish how it will change the complete fenestration specification process.Learning Objectives:   Presented by Matt Keller – Mermet1.0 LU/HSW ","Tue, September 17, 2019, 12:00 PM – 1:00 PM CDT, ",Other,"Great Dane Pub & Brewing Co. – Fitchburg , 2980 Cahill Main , Fitchburg, WI 53711 , ", AIA Southwest Wisconsin
https://www.eventbrite.com/e/church-planting-in-post-christian-soil-theology-and-practice-tickets-62744734189,Church Planting in Post-Christian Soil: Theology and Practice,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67615771%2F259310225704%2F1%2Foriginal.20190805-190559?w=1000&auto=compress&rect=0%2C200%2C1364%2C682&s=6af539267e24830e111d5d7fcc19c16c,"National headlines regularly herald the decline of Christianity in the United States, citing historically low levels of confidence in organized religion, drops in church attendance, church closures, and the dramatic rise of the ""Nones"" (no religious affiliation). But the trends are more complicated, and not solely pointing to decline. Scarcely heard are stories from the thousands of new churches and new forms of Christian community that are springing up each year across the country.In his book, Church Planting in Post-Christian Soil: Theology and Practice (Oxford University Press, 2017), Christopher James highlights stories of ecclesial innovation taking place in the ""post-Christian"" metropolis of Seattle, Washington—a city on the leading edge of trends shaping the nation and Western Europe as a whole—offering sociological insight, theological reflection, and pragmatic advice.James will share his stimulating, encouraging, and innovative work and then invite us to reconsider the narrative that portrays these first decades of the twenty-first century as a period of ecclesial decline, and to instead view our historical moment and our communities as filled with hope for renewal and rebirth.Lunch will be provided.*Rev. Dr. Christopher B. James is Associate Professor of Evangelism and Missional Christianity at University of Dubuque Theological Seminary. There he leads the Master of Mission and Discipleship degree and a Doctor of Ministry cohort on “Leadership in a Changing Context” with Dr. Alan Roxburgh. He is author of Church Planting in Post-Christian Soil: Theology and Practice (Oxford University Press, 2017) and holds a Ph.D. in Practical Theology from Boston University School of Theology, a M.Div. from Fuller Theological Seminary, and a B.A. from Wheaton College. His research has been featured by several media outlets including the SeattleMet magazine, Seattle�s NPR station, The Daily Beast, and the RePlacing Church podcast. Chris is Director of the Dane Churches Project as well as Mission Madison, an innovative cohort-based initiative that equips missional leaders to thrive in the Greater Madison area.*We enjoy extending thoughtful hospitality to our community. To help offset meal-related costs, we invite our guests to consider a $10 contribution for lunch on the day of the event. We are grateful for your support of Upper House programming and hospitality.","Wed, September 25, 2019, 12:00 PM – 1:30 PM CDT, ",Madison Seminars,"Upper House , 365 East Campus Mall , Suite 200 , Madison, WI 53715 , ", Upper House
https://www.eventbrite.com/e/make-craft-do-art-journaling-with-april-trickel-registration-68197914799,"MAKE, CRAFT & DO: Art Journaling with April Trickel",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67771937%2F144875589570%2F1%2Foriginal.20190806-192721?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=8d077e2a65e0652363f7ea3fc55e0841,"Join us at the DreamBank and be inspired to express your thoughts and feelings through art journaling. Self-taught local artist and crafter, April Trickel, will help get you started by showing you the basics of art journaling, what tools you can use, art journaling techniques, how to decide what to say, and more. We'll provide the supplies, so just bring your inspiration and start creating! This event is perfect for guests ages 12 and up.","Sat, October 19, 2019, 1:00 PM – 3:00 PM CDT, ",Madison Classes,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/elder-care-elder-law-continuing-education-tickets-66903607491,Elder Care/ Elder Law Continuing Education,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F66850627%2F196680938194%2F1%2Foriginal.20190729-160733?w=1000&auto=compress&rect=0%2C13%2C1200%2C600&s=cca1ca1b7f0f3be8b52e1773a10ae3d4,This event will include 4 hours of live class continuing education content. Breakfast and lunch will be provided to attendees. Regrastration will begin at 9:30 a.m. David Bidwell : Why Women Should care about LTC PlanningHarlan Accola: Medicaid PlanningEric Christoffersen: Elder Law Concepts Provided free thanks to the generous support of Licoln Financial Group and Fairway Independent Mortgage Corporation.,"Thu, September 12, 2019, 9:30 AM – 2:00 PM CDT, ",Madison Seminars,"Fairway Independent Mortgage Corporation , 4750 South Biltmore Lane , Madison, WI 53718 , ", Insurance Services Group
https://www.eventbrite.com/e/lost-in-startuplandia-tickets-62890712815,Lost in Startuplandia,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F63325040%2F38369898232%2F1%2Foriginal.20190603-211000?w=1000&auto=compress&rect=71%2C0%2C624%2C312&s=6fd06e46cf8444253813eecf187d11b3,"Join Doyenne and entrepreneur & author Kelly Fitzsimmons in having a conversation about what it's really like being an entrepreneur. Come hear Kelly's experience of being a serial tech entrepreneur, artist, and mother of two. She'll discuss what it's like to wear multiple hats, what to do when sh*t hits the fan, and how to overcome crisis after crisis while living your dream of being an entrepreneur and building your business.While entrepreneurship is promoted as being a sexy, high profit, ""build the life you want"" type career/lifestyle choice, there's also the dark, secret, isolating side of having to put on a smile when:Kelly will discuss how to find every day successful moments, how to face the crisis head-on and be able to still build the life you want while running on physical and emotional fumes.","Fri, August 23, 2019, 2:00 PM – 3:30 PM CDT, ",Madison Seminars,"StartingBlock Madison , 821 East Washington Avenue , #3rd floor - Cafe , Madison, WI 53703 , ", Doyenne Group
https://www.eventbrite.com/e/dog-aggression-and-reactivity-seminar-tickets-66927783803,Dog Aggression and Reactivity Seminar,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F58182207%2F290747502926%2F1%2Foriginal.20190309-205513?w=1000&auto=compress&rect=0%2C16%2C710%2C355&s=b134b17e7b9e536c9e71f327f4cfbdda,"Join Jorge Melara of Divine K-9 Inc, as he discusses the causes of agression, and practical postive methods to change the behaviors.  Question and answer session will be held at the end of the event.","Thu, August 15, 2019, 6:00 PM – 8:45 PM CDT, ",Madison Seminars,"Contact the organizer to request a refund. , ", Divine K-9 Inc
https://www.eventbrite.com/e/blind-sauvignon-blanc-wine-tasting-tickets-65732739393,"
				Blind Sauvignon Blanc Wine Tasting
			",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F65769075%2F288474250776%2F1%2Foriginal.20190717-210513?w=1000&auto=compress&rect=0%2C10%2C458%2C229&s=a1ec7e45744a6b6602a2ca85a7771af2,Test your knowledge of Sauvignon Blanc's with this blind wine tasting. See if your tasting skills are good enough to be able to tell where the wines are from and the price point of them. Who knows you might like a $13 bottle more than a $30 bottle.Cost $12; Wine club members bring a friend for free.,"Thu, August 15, 2019, 5:30 PM – 8:30 PM CDT, ",Madison Parties,"WineStyles Tasting Station - Sun Prairie , 2824 Prairie Lakes Drive , Suite 105 , Sun Prairie, WI 53590 , ",None
https://www.eventbrite.com/e/edgewood-high-school-class-of-99-20-year-reunion-tickets-62070920795,"Edgewood High School, Class of '99, 20 Year Reunion",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64719489%2F308295738690%2F1%2Foriginal.20190701-195500?w=1000&auto=compress&rect=0%2C222%2C3870%2C1935&s=42f748b396ec7abcaa2aefa4324edaa4,"Edgewood High School Family Picnic:When: Saturday, August 17th, 2019 11:00am-3:00pmWhere: Edgewood High School Front LawnDetails: Join your classmates and their families for a potluck picnic on the Edgewood front lawn. Bring a dish to share and your favorite beverages. There will be lawn games, a bounce house for the kids, and a special tour of the new Edgewood Fine Arts Center by Dennis McKinley at 1:00pm. Evening Gathering:When: Saturday, August 17th, 2019 7:00pm-?Where: Echo Tap & Grill, 2632, 554 W Main St, Madison, WI 53703Details: Come join your classmates, and their partners at the Echo Tap's upstairs private room. There will be food and drinks for purchase, as well as pool, darts, and a jukebox. The cost for the whole reunion is $15.00 per family. This is to help us cover the costs of the bounce house and other random fees. If we end up with extra money, we'll donate it to Edgewood in some fashion.  We ask that you purchase one ticket for your family if you plan to attend any part of the reunion. Thanks. ","Sat, August 17, 2019, 11:00 AM – 3:00 PM CDT, ",Madison Parties,"Edgewood High School , 2219 Monroe Street , Madison, WI 53711 , "," Mary Bridget ""Nowicki"" Samson, David Hilgendorf, Amy ""Washbush"" Hilgendorf,..."
https://www.eventbrite.com/e/business-a-holistic-guide-to-online-marketing-with-joey-donovan-guido-registration-64632010082,BUSINESS: A Holistic Guide to Online Marketing with Joey Donovan Guido,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67756719%2F144875589570%2F1%2Foriginal.20190806-185748?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=9d643a89929465ea1129101ccfe9c9a7,"When it comes to marketing your business, there�s a lot to think about. But online marketing consultant Joey Donovan Guido of Cuppa SEO Web Design is here to help! In this workshop, he�ll provide a global view of online marketing and encourage you to look at your website, blog and social media efforts as a whole to create an effective strategy. We�ll go over three major disciplines – SEO, user experience and conversion – so you can learn what these are and why they�re important. Then, you�ll get practical advice on how you can actually apply your learnings to your online marketing efforts! You�ll leave empowered to make meaningful improvements for your business.","Tue, September 10, 2019, 12:00 PM – 1:15 PM CDT, ",Madison Classes,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/admissions-application-workshop-registration-61189130336,Admissions Application Workshop,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F56113822%2F173992171851%2F1%2Foriginal.20190201-193713?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=cea68564116711c11699932c3e2a420e,"Receive assistance with completing the online admissions application for programs and certificates at Madison College.Please note that this workshop is not meant to help students choose a degree program. Please come to this workshop knowing what program you would like to apply for.Registration is requiredPrior to attending the Admissions Application Workshop, students should complete the following:1). Choose your degree, diploma or certificate - Madison College offers more than 150 career programs. Start by choosing an associate degree, diploma or certificate that�s right for you.For assistance with choosing a career/program path, please attend a Career Planning Workshop.2). Review admission requirements - Application deadlines, materials, and requirements may differ by program, so check the Admission tab on your desired program page.Online applications require payment at time of submission. Payment can be made with credit/debit cards or eCheck. Program applications are $30; certificate applications are $15. Cash/check/money orders cannot be accepted for online applications.Limited fee waivers are available for students with demonstrated financial need.","Fri, August 9, 2019, 12:00 PM – 1:00 PM CDT, ",Madison Classes,"Madison College Truax Campus , 1701 Wright St , Room A1003 , Madison, WI 53704 , ", Enrollment Services
https://www.eventbrite.com/e/tequila-for-tatas-2019-tickets-66238971547,Tequila for Tatas 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F66195219%2F99509745133%2F1%2Foriginal.jpg?w=1000&auto=compress&rect=0%2C67%2C2048%2C1024&s=6bfd4d9b85ee6de0fd42180df1621acc,"We created this annual event to raise awareness about Stage IV breast cancer and raise funds for research, advocacy, and support to people with Stage IV metastatic breast cancer. A minimum donation of $30 will get you two hand-crafted margaritas, delicious appetizers, and great conversation. All proceeds will go to the UW-Madison Carbone Cancer Center's “More for Stage IV” fund. Non-alcoholic drinks are also available. Signature Margaritas | Appetizers | Raffle PrizesAbout UW Carbone Cancer Center:“The UWCCC is recognized throughout the Midwest and the nation as one of the leading innovators in cancer research and quality patient care. Your support is critical to our efforts; your donation enables our researchers to explore new ideas and develop better methods of diagnosing, treating, and preventing cancer.” For more information on UWCCC, please visit cancer.wisc.edu.","Wed, September 25, 2019, 4:00 PM – 8:00 PM CDT, ",Fitchburg Parties,"Tri-North Builders , 2625 Research Park Drive , Fitchburg, WI 53711 , ", Tri-North Builders
https://www.eventbrite.com/e/legal-research-with-fastcase-tickets-61609906890,Legal Research with FastCase,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F61994962%2F145315594192%2F1%2Foriginal.20190509-161916?w=1000&auto=compress&rect=3%2C0%2C802%2C401&s=cb7716be92bfa7735ee10534a82715f2,"State Bar of Wisconsin members have free access to FastCase. Are you getting the most out of this tool? A FastCase representative will guide us through features and tools.Registration - $15 payable the day of the event by cash or check payable to Madison College. Includes workshop materials, lunch, and workshop. One credit of CLE will be requested through the BBE.Cancellations less than 24 hours before the event will incure the registration fee. ","Fri, September 20, 2019, 12:00 PM – 1:00 PM CDT, ",Madison Classes,"Madison College Protective Services Building , 1701 Pearson Street , Madison, WI 53704 , ", Madison College Paralegal Program Workshops
https://www.eventbrite.com/e/madison-wi-workshop-cybersecurity-basics-for-under-resourced-organizations-tickets-64635602828,"Madison, WI Workshop: Cybersecurity Basics for Under-Resourced Organization...",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64789510%2F223070530237%2F1%2Foriginal.20190702-203958?w=1000&auto=compress&rect=244%2C0%2C1464%2C732&s=ab290b6ea5121b2abc99808e68c498cc,"Small & medium-sized organizations all have valuable data, which makes them prime targets for cyber criminals . However, these organizations (small businesses, non-profits, local governments, schools, etc.) are often under-resourced when it comes to protecting their sensitive assets. The National Cyber Security Alliance has developed a free hands-on half-day workshop to help organizations:• Identify which business assets others want • Protect those assets • Detect when something has gone wrong • Respond quickly and appropriately with an action plan • Recover after a breachAGENDA: 8:30AM-9:00AM: Registration9:00AM-10:00AM: Fireside chat with local and national experts10:00AM-12:00PM: Tabletop workshop where attendees will define what cybersecurity is, identify common misconceptions, learn ""quick wins"" to put into action now, and begin developing their own strategy for minimizing cybersecurity threats. This workshop is not designed for cybersecurity experts. This workshop is designed for individuals with little to no cybersecurity expertise, but everyone is welcome to attend. This half-day workshop on September 24th is in collaboration with the 7th Annual Wisconsin Governor's Cybersecurity Summit, and is a kick-off to National Cybersecurity Awareness Month--observed throughout the month of October. The CyberSecure My Business program is free to attend thanks to generous sponsorship: National Signature Sponsor: Trend Micro; National Contributing Sponsor: Infosec.Questions? Contact Daniel Eliot, Director of Education & Strategic Initiatives, National Cyber Security Alliance: Daniel@staysafeonline.org  ","Tue, September 24, 2019, 8:00 AM – 12:00 PM CDT, ",Madison Classes,"UW-Madison Gordon Commons Event Center , 770 W. Dayton , Madison, WI 53715 , ", National Cyber Security Alliance
https://www.eventbrite.com/e/what-is-wisconsins-energy-strategy-tickets-66679015731,What is Wisconsin's Energy Strategy,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F66640951%2F265942477747%2F1%2Foriginal.20190726-141031?w=1000&auto=compress&rect=0%2C25%2C900%2C450&s=72fc6a0b556c12fba451b2544f63bf10,"The Thompson Center is excited to be putting on an event looking at renewable energy production in Wisconsin.  Panelists will include representatives of both public and private organizations as well as some academics.  Specifically, the conference will examine what opportunities and challenges are present in building up Wisconsin�s renewable energy capacity, and how the state can optimize the use of its existing renewable energy resources.Sharon Jacobs of the University of Colorado Law School and author of “The Energy Prosumer” will be our Keynote speaker for this event over a free lunch.","Fri, October 4, 2019, 9:00 AM – 1:00 PM CDT, ",Madison Government Events,"The Madison Concourse Hotel and Governor�s Club , 1 West Dayton Street , Madison, WI 53703 , ", The Tommy G. Thompson Center on Public Leadership
https://www.eventbrite.com/e/fitness-band-strength-training-with-capital-fitness-registration-64620740374,FITNESS: Band Strength Training with Capital Fitness,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64774247%2F144875589570%2F1%2Foriginal.20190315-170740?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=b8aae5d31784cf6fcace5300664a0632,"Customize your next workout with bands! Whether you�re new to exercise, looking to freshen up your routine, or just want to sweat, this training combines several different band exercises for a full body workout. Learn key exercises that can strengthen your flexibility and mobility, work on injury prevention or post injury recovery, and enjoy simple exercises you can do the rest of your life. All muscle groups are fair game — you just choose the difficulty!","Mon, September 9, 2019, 12:00 PM – 1:00 PM CDT, ",Madison Classes,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/imagination-workshop-improvise-to-imagine-workshop-with-atlas-improv-co-registration-64632216700,IMAGINATION WORKSHOP: Improvise to Imagine   Workshop with Atlas Improv Co.,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67759179%2F144875589570%2F1%2Foriginal.20190806-191329?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=025eb342478d9b58dbd55c5a09d02fe0,"Improvisation helps you make the best use of what you already know so you can make big discoveries and surprise yourself. This workshop offers a fun and supportive space where you will practice taking positive risks and getting out of your own way. Games and exercises will focus on spontaneity, responding positively to change, and overcoming barriers to ideas so creative they just might work.","Mon, September 23, 2019, 6:00 PM – 7:30 PM CDT, ",Madison Classes,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/dream-big-big-dreams-small-steps-with-lisa-robb-registration-64553472173,"DREAM BIG: Big Dreams, Small Steps with Lisa Robb",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67757493%2F144875589570%2F1%2Foriginal.20190806-190237?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=9da082c5e0fc12ea6f8248fa17d6c1cb,"How big are your dreams? As we navigate our way through life, it is easy to get stuck. In this inspirational presentation, certified and credentialed professional life coach, and owner of Raining Glitter Coaching, LLC, Lisa Robb will discuss the four key ingredients to discovering your potential. Lisa will help you break your dreams into small steps. What will happen when you embrace the first step? Who will you become when you believe MORE is possible? Join us to find out!","Thu, September 12, 2019, 6:15 PM – 7:30 PM CDT, ",Madison Seminars,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/adhd-sensory-anxiety-workshop-back-to-school-edition-tickets-65849209759,"ADHD, Sensory, & Anxiety Workshop: Back to School Edition",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F65890519%2F233799770843%2F1%2Foriginal.20190718-193909?w=1000&auto=compress&rect=0%2C0%2C6750%2C3375&s=678ca210af0ba5c3b70e6955191c00b7,"Parents,Was last school year difficult for your child?  Did they have way too many challenges and struggles? If you answered yes, you might be looking for another option to help with your child's focus, attention, mood, anxiety, and behavior.  If that sounds like your situation, then this is the event for you!Whether your child has been given a diagnosis such as ADHD, SPD, ASD, anxiety, or maybe you just know in your gut something isn't quite right, we are here to share information about WHY your kiddo is struggling and give you ACTION STEPS that you can take immediately to help them thrive not only now, but as the school year starts up again. Our Perfect Storm Workshop is laid out to easily share the common ""ingredients"" that have led to these issues. Better than understanding your child on a deeper level, we're also going to give you ACTION STEPS to take so you can immediately help give your child the life we both know they deserve. Those who take ACTION, get the results! Join Dr. Jill Mork at this event to learn more!For over 6 years, Dr. Jill has been helping children, just like yours, with or without a diagnosis, grow and exceed expectations. You don't have to accept limits other professionals have given you and your family.Don't miss out on our last workshop of the summer to learn how you can make next school year different!  Seats are limited, so be sure to sign up!It's time to change your child's life and the life of your family! See you there!","Thu, August 15, 2019, 6:30 PM – 7:30 PM CDT, ",Madison Classes,"Family First Chiropractic of Verona , 1029 North Edge Trail , Verona, WI 53593 , ", Family First Chiropractic of Verona
https://www.eventbrite.com/e/make-craft-do-crocheting-101-with-anne-lies-registration-68200326011,"MAKE, CRAFT & DO: Crocheting 101 with Anne Lies",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67775661%2F144875589570%2F1%2Foriginal.20190806-192721?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=8ae425685250bd2c5279af1cfb5ecb4b,"Have you always wanted to learn to crochet? Now�s your chance to pursue this creative dream with this fun and simple lesson! Long-time craft leader Anne Lies will show you the basics and get you started on your first project. We�ll provide the supplies, all you need is curiosity, creativity, and a desire to learn this fun and versatile craft. And, if you enjoy this event, put what you learn to use on Wednesday, November 13th, during our more advanced crocheting class! Registration is limited for this event, so RSVP early. This event is perfect for those ages 12 and up.","Sat, October 26, 2019, 1:00 PM – 3:00 PM CDT, ",Madison Classes,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/make-craft-do-diy-painted-wooden-bead-necklace-registration-68190263915,"MAKE, CRAFT & DO: DIY Painted Wooden Bead Necklace",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F67763911%2F144875589570%2F1%2Foriginal.20190806-192721?w=1000&auto=compress&rect=0%2C0%2C2160%2C1080&s=8e4a2b654c8760b9fb23f532f3142a47,"Come to DreamBank and make your own wooden bead necklace! Customize it and make it your own with a variety of paint. It's a great way to add some pizzazz to your outfit, or make a nice gift for someone special. We'll provide all of the supplies, so just bring your style & creativity! This craft is perfect for guests ages 12 and up.","Sat, October 5, 2019, 1:00 PM – 3:00 PM CDT, ",Madison Classes,"DreamBank - American Family Insurance , 821 East Washington Avenue , Madison, WI 53703 , ", DreamBank at Spark
https://www.eventbrite.com/e/data-visualization-storytelling-workshop-tickets-64392541826,Data Visualization & Storytelling Workshop,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64566674%2F227403203122%2F1%2Foriginal.20190627-193231?w=1000&auto=compress&rect=0%2C0%2C1024%2C512&s=787e5e299ad6fb62c2fe8cc97f480473,"Whether you�re in marketing, human resources, finance, operations, or analytics, being able to understand data, pull out key insights, and communicate data effectively is now critical to your own career growth and to driving your organization forward. In the Data Visualization & Storytelling workshops, you will get hands-on experience with using data to visually and orally communicate insights that drive action. The course is divided into two half-day sessions. The morning will cover data visualization best practices, and the afternoon will teach you how to craft powerful data-driven stories that influence peers and leaders.Workshop Overview Morning Session: Getting the Most From Data VisualizationAfternoon Session: Designing and Communicating a Compelling Data Story In addition to the workshop, each attendee will be given a copy of the “Data Storytelling and Visualization Reference Guide” and a comprehensive list of additional resources for reference and continued learning.Who Are We?This workshop is taught by Dave Mathias and Matt Jesser from Beyond the Data. With over 25 years of combined experience leading data, analytics, and training for Fortune 100 companies down to startups, we know how to help you drive your organization forward through data. Beyond the Data is one of the few firms that focus completely on the area of data literacy. Their passion is in helping people like you improve their work and lives by using data. Also check out their Data Able podcast, a bi-weekly about harnessing the power of data to make a greater impact in your organization and community.","Tue, August 27, 2019, 9:00 AM – 4:00 PM CDT, ",Madison Classes,"Refunds up to 30 days before event , ", Beyond the Data
https://www.eventbrite.com/e/middleton-wi-hs-class-of-74-45th-reunion-tickets-58957000977,Middleton WI HS Class of 74 - 45th Reunion,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F59853499%2F149138940575%2F1%2Foriginal.20190405-223032?w=1000&auto=compress&rect=0%2C104%2C3264%2C1632&s=c638388dc5d7c6ebde3e84de3a0c301b,"Come join the MIddleton, WI High School Class of 74 for our 45th Reunion. Snacks begin at 4PM and hors d'oeuvres at 6PM. Cash Bar. Dress is casual. Food, drink, music, and fun.Reunion Hotel: Courtyard, Middleton (reservation info coming)","Sat, August 17, 2019, 4:00 PM – 11:00 PM CDT, ",Cross Plains Parties,"American Legion Hall , 2217 American Legion Dr , Cross Plains, WI 53528 , ", Organizing Committee
https://www.eventbrite.com/e/family-bike-camping-lake-farm-park-october-2019-tickets-53837218570,Family Bike Camping // Lake Farm Park // October 2019,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F54066329%2F191191727823%2F1%2Foriginal.20181217-223413?w=1000&auto=compress&rect=0%2C1253%2C3036%2C1518&s=c36e04dc50b92c0ecf32ca5a2a9cd89d,"More details coming - similar to last year, but better! :)","Sat, Oct 5, 2019, 12:00 PM –, Sun, Oct 6, 2019, 3:00 PM CDT, ",Madison Retreats,"Lake Farm County Park Group Campsite , Madison, WI 53711 , ", The Cargo Bike Shop
https://www.eventbrite.com/e/connect-madison-volunteer-with-united-way-tickets-64823647274,CONNECT Madison | Volunteer with United Way,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64937163%2F251334564164%2F1%2Foriginal.20190705-193203?w=1000&auto=compress&rect=94%2C0%2C624%2C312&s=26d9912a1b38fcfa60189011c69d9f3b,"Join CONNECT Madison as we volunteer at the Community Kickoff, United Way's annual campaign to support our community's Agenda for Change Programming. There will be food, fun and a short program! There will be complimentary Seasons of Caring t-shirts for all volunteers and attendees. Our CONNECT Madison team will be creating Paper Product Packs for Families. Paper product packs will benefit clients at Community Action Coalition and Middleton Outreach Ministry. This work is an important step in our efforts to stabilize more families through United Way's community�s Agenda for Change, where we focus on the education, financial stability and health of everyone in Dane County, moving families from crisis to stability so we can all thrive together. ","Tue, August 20, 2019, 4:00 PM – 6:30 PM CDT, ",Other,"Madison Mallards , 2920 North Sherman Avenue , Madison, WI 53704 , ", CONNECT Madison
https://www.eventbrite.com/e/bunker-brews-madison-drones-to-cones-tickets-61705506832,Bunker Brews Madison: Drones to Cones,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F64455204%2F140294858347%2F1%2Foriginal.20190625-232927?w=1000&auto=compress&rect=0%2C198%2C1080%2C540&s=60f470e8f3ec1afc2e7e5a9ba1608926,"Rapid Imaging's pioneering technology introduced the world to what would become Augmented Reality and they continue to innovate their technologies to further advance our Department of Defense, State and Local Government, Municipality, and Commercial Customers.This event is part of Bunker Brews, a monthly meetup where the Bunker Labs community, including veterans, military spouses, and civilians, comes together to network with subject matter experts, investors, thought leaders, and more in an environment focused on growth and development.This event is for you if...1. You're interested in meeting more like-minded, action-oriented entrepreneurs in a fun, casual setting.2. You�re interested in getting involved in the local entrepreneur community.3. You'd like to learn more about companies being created by veterans in our communitySpeaker SpotlightDavid GeislerDavid is a goal oriented team leader, focusing on creating technologies that revolutionize the Intelligence Situational Awareness Industry. He managing the SmartCam3D Augmented Reality Product line for Unmanned Aerial Systems. ","Thu, August 29, 2019, 5:30 PM – 7:30 PM CDT, ",Madison Networking,"Boardman  & Clark , 1 South Pinckney Street , Madison, WI 53703 , ", Bunker Labs Madison
